Name,Department Profile,Specialties,Education,Location,About,Profile Link
Narasimhan P. Agaram,Associate Pathologist ,Soft Tissue Sarcoma | Bone Pathology | Cytopathology ,"MBBS, Bangalore Medical College (India) ",New York,"I am a pathologist who is board-certified in anatomic and clinical pathology and in cytopathology. My area of expertise is the surgical pathology of soft-tissue and bone tumors. As part of the multidisciplinary teams involved in the management of these tumors, I work closely with colleagues from surgical oncology, orthopaedic oncology, adult and pediatric medical oncology, radiology and radiation therapy. My role as a pathologist mainly involves establishing accurate diagnoses and, as a result, guiding treatment decisions. Working in a large cancer center also gives me an opportunity to be in the forefront in incorporating the latest molecular testing assays in the work-up of these complicated tumors.",https://www.mskcc.org/cancer-care/doctors/narasimhan-agaram
Shuchi Agarwal,Assistant Attending Physician ,Occupational and Environmental Medicine ,"MD, Boston University School of Medicine | MPH, Johns Hopkins Bloomberg School of Public Health ",,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/shuchi-agarwal
David H. Aggen,Assistant Attending Physician ,Bladder Cancer | Kidney Cancer | Prostate Cancer | Clinical Trials ,"MD, University of Illinois College of Medicine | PhD, University of Illinois Urbana-Champaign ",New York,"I am a medical oncologist who cares for people with genitourinary cancers. This includes bladder cancer, urinary tract cancer, kidney cancer, and prostate cancer.",https://www.mskcc.org/cancer-care/doctors/david-aggen
Carol Aghajanian,"Chief, Gynecologic Medical Oncology Service ",Cervical Cancer | Uterine (Endometrial) Cancer | Gestational Trophoblastic Disease | Ovarian Cancer ,"MD, SUNY Health Science Center at Brooklyn ",New York,I am a medical oncologist who focuses exclusively on the medical treatment of gynecologic cancers.,https://www.mskcc.org/cancer-care/doctors/carol-aghajanian
Tim A. Ahles,Behavioral Medicine | Neurocognitive Side Effects of Cancer Treatment ,"PhD, Clinical Psychology, State University of New York at Albany ","University of Mississippi Medical Center | Veterans Administration Medical Center (Jackson, Mississippi) ",New York,"I am a behavioral psychologist with a special interest in the cognitive effects of cancer treatments. My clinical interests have focused on cognitive-behavioral interventions designed to improve symptom management (e.g., cognitive problems, pain, sleep disorders) and to reduce stress associated with cancer and cancer treatments. In addition, I am the psychological liaison to the Neurology Service and to the Brain Tumor Center.",https://www.mskcc.org/cancer-care/doctors/tim-ahles
Firas S. Ahmed,Associate Attending Radiologist ,"Body Imaging, Genitourinary Imaging, Hepatobiliary and Pancreatic Imaging, Virtual CT Colonography. ","MD, University of Baghdad-College of Medicine ",Montvale,"I am a board-certified radiologist with expertise in abdominopelvic imaging. I have experience in a variety of medical imaging methods, including computed tomography (CT) scan, magnetic resonance imaging (MRI), ultrasound, plain radiography, and virtual colonoscopy (also known as CT colonography).",https://www.mskcc.org/cancer-care/doctors/firas-ahmed
Divya Ajay,Assistant Attending Physician ,Difficulty emptying the bladder | Urinary incontinence (leakage) | Urethral or ureteral stricture disease (Scar tissue blocking the urinary tubes) | Pelvic organ prolapse (when pelvic muscles can no longer support organs in the pelvic area) | Complex fistulae (an abnormal connection between two body parts) ,Urinary Incontinence | Urethral Stricture | Bladder Diverticulum | Urethral Diverticulum | Urinary Diversion | Catheterizable Pouches | Neobladder | Hypospadias | Radiation Injury | Rectourethral Fistula | Bladder Fistula | Ureteral Obstruction | Ureteral Stricture | Urethral Fistula | Neurogenic Bladder | Pelvic Organ Prolapse ,New York,I am a reconstructive urologist specializing in cancer survivorship. I help patients with urologic side effects they may face during or after cancer treatment. This includes managing symptoms like:,https://www.mskcc.org/cancer-care/doctors/divya-ajay
Oguz Akin,CT and MRI | Body Imaging | Prostate and Gynecologic Imaging ,"MD, Hacettepe University School of Medicine (Ankara, Turkey) ","Baskent University School of Medicine (Ankara, Turkey) | Memorial Sloan Kettering Cancer Center ",New York,I am a radiologist with a subspecialty in imaging for cancer. I have practiced radiology for more than 15 years and joined MSK in 2002.,https://www.mskcc.org/cancer-care/doctors/oguz-akin
Hikmat A. Al-Ahmadie,Attending Pathologist ,Genitourinary Pathology ,"MD, Damascus University Faculty of Medicine (Syria) ",New York,"I am a board-certified pathologist in anatomic and clinical pathology with expertise in the surgical pathology of tumors of the genitourinary system. Within our group, every year we examine thousands of biopsies and resections from tumors of the prostate, kidney, bladder, and testis. This enables us to establish the correct diagnosis and the extent of these tumors.",https://www.mskcc.org/cancer-care/doctors/hikmat-al-ahmadie
William Alago,"Director, Interventional Radiology, MSK Westchester ",Vascular and Interventional Radiology | Liver Cancer | Lung Cancer | Rectal Cancer ,"MD, Albert Einstein College of Medicine ",West Harrison,"I am an interventional radiologist, a physician who uses image guidance to perform minimally invasive procedures through small incisions in the skin. Some of the imaging modalities utilized include CT scans, ultrasound, and x-ray/fluoroscopy. These procedures are usually done with moderate intravenous sedation rather than with general anesthesia, thus reducing the time it takes for the patient to recover.",https://www.mskcc.org/cancer-care/doctors/william-alago
Emad Alahiri,Instructor ,Respiratory Failure | Different Types of Shock | Multi-Organ Failure | Renal Failure Requiring Continuous Renal Replacement Therapy (CRRT) ,"MD, American University of Antigua School of Medicine ",New York,"As an intensivist (a doctor with special training in treating people who are very sick) and nephrologist (a doctor with special training in treating kidneys), I see patients in the intensive care unit (ICU) at Memorial Sloan Kettering Cancer Center.",https://www.mskcc.org/cancer-care/doctors/emad-alahiri
James R. Alberti,Associate Attending Anesthesiologist ,Anesthesia and Critical Care for Adult and Pediatric Cancer Patients ,"MD, SUNY Upstate Medical University ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/james-alberti
Kaled M. Alektiar,"Director, Gynecologic Radiation Oncology | Director, Sarcoma Radiation Oncology ",Uterine (Endometrial) Cancer | Cervical Cancer | Vulvar and Vaginal Cancer | Ovarian Cancer | Soft Tissue Sarcomas | Brachytherapy ,"MD, Damascus University School of Medicine ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/kaled-alektiar
Erica S. Alexander,Assistant Attending Radiologist ,Thoracic Malignancies | Neuroendocrine Tumors ,"MD, Brown University ",New York,"I am an interventional radiologist who specializes in performing minimally invasive, image-guided procedures with a particular focus in treating thoracic malignancies and neuroendocrine tumors. My patients often leave the hospital on the same day of treatment with only a tiny incision. I perform a wide array of procedures, from venous access, biopsies throughout the body, and locally directed, highly selective cancer therapies.",https://www.mskcc.org/cancer-care/doctors/erica-alexander
Koshy Alexander,Associate Attending Physician ,"Geriatric Syndromes including dementias, delirium, and falls | Comprehensive Geriatric Assessment | Fall-Risk Assessment | Perioperative Management of Elderly Patients ",Kottayam Medical College (India) ,New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/koshy-alexander
Yesne Alici,"Clinical Director, Psychiatry Service ",Psychiatric Care of Geriatric Cancer Patients ,"MD, Istanbul University Cerrahpasa School of Medicine (Turkey) ",New York,I am a psychiatrist who specializes in psycho-oncology and geriatric psychiatry. I see people with all types of cancer but have a particular interest in helping people with brain tumors and older adults with cancer. I work in both inpatient and outpatient settings.,https://www.mskcc.org/cancer-care/doctors/yesne-alici
Robert J. Allen,Assistant Attending Surgeon ,Microsurgical Breast Reconstruction | Head and Neck Reconstruction | Lymphedema Surgery ,"MD, Medical University of South Carolina ",New York,"I am a plastic and reconstructive surgeon with extensive clinical experience in all facets of breast reconstruction, with a special interest in microsurgical breast reconstruction. I also have significant experience and interest in oncologic head and neck reconstruction.",https://www.mskcc.org/cancer-care/doctors/robert-allen-jr
Joshua Allen-Dicker,"Director of Quality, Hospital Medicine Service | Vice Chair, Quality Assurance, Department of Medicine ",General Internal Medicine | Treatment of Inpatient Oncologic Issues ,"MD, New York University School of Medicine | MPH, Harvard School of Public Health ",New York,"I am a hospitalist — a doctor who takes care of patients who are in the hospital. I have worked in this role since 2013. My goal every day is to provide the kind of care for my patients — compassion, attention, and communication — that I would want for my loved ones. My daily work is focused on collaboration with patients, their families, and the outpatient oncologists and other staff that know my patients best. We work together to address the unique challenges faced by our patients.",https://www.mskcc.org/cancer-care/doctors/joshua-allen-dicker
David Amar,"Director, Thoracic Anesthesia ",Cardiothoracic Anesthesiology ,"MD, Loyola University of Chicago Stritch School of Medicine ",New York,"Together with my colleagues in Thoracic Surgery and Cardiology, I have initiated a program to treat and prevent atrial arrhythmias that can occur after major thoracic surgery. This program has received significant funding from various sources to help support research into the causes of atrial arrhythmias, specifically in patients undergoing thoracic surgery. As a result of our research, patient safety has been improved with the use of more effective drugs to help prevent atrial arrhythmias and increased monitoring of patients at risk of developing these arrhythmias.",https://www.mskcc.org/cancer-care/doctors/david-amar
Tali Amir,"Director, Breast Imaging Bergen ",Oncologic Breast and Body Imaging | Breast Interventions ,"MD, Robert Wood Johnson Medical School, Rutgers University ",Montvale,"I am a board-certified diagnostic radiologist with specialized training in breast imaging. I practice at MSK Bergen, in New Jersey, as well as at the Evelyn H. Lauder Breast Center, in Manhattan. I am committed to bringing patients compassionate care of the highest quality.",https://www.mskcc.org/cancer-care/doctors/tali-amir
Farnia Amirnia,Associate Attending Physician ,Geriatrics Syndromes Including Dementia and Delirium | Comprehensive Geriatrics Assessment | Perioperative Management of Geriatrics Patients ,"MD, Tehran University, School of Medicine ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/farina-amirnia
Stacy Lee Anderson,Assistant Attending Physician ,General Internal Medicine ,"MD, Oregon Health and Sciences University ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/stacy-anderson
Zoltan Antal,Assistant Attending Pediatrician ,Late effects of childhood cancer survivors | Growth and pubertal disorders following cancer therapy | Pediatric thyroid cancer | Thyroid disorders following cancer therapy | Endocrine care of children with Fanconi Anemia | Endocrine care of children with Neurofibromatosis Type 1 ,"BS, Biology, Stony Brook University | MD, St George’s University School of Medicine, Grenada, West Indies ",Uniondale,"I am a pediatric endocrinologist on the MSK Kids team. I specialize in the care of disorders of growth and puberty, which are very common in survivors of childhood cancers. I have expertise in treating children with endocrine (hormonal) disorders related to neurofibromatosis type 1 (NF-1), Fanconi anemia, and multiple pituitary deficiencies (“hypopituitarism”) after brain tumor treatment. I also specialize in the care of children with primary thyroid cancer as well as thyroid cancer that results from the treatment of a different cancer.",https://www.mskcc.org/cancer-care/doctors/zoltan-antal
Cristina R. Antonescu,"Director, Bone and Soft Tissue Pathology ",Bone Pathology | Pathology of Soft Tissue Sarcomas ,"MD, Carol Davila Faculty of Medicine and Pharmacy (Bucharest, Romania) ",New York,"I am a board-certified pathologist with expertise in soft tissue sarcoma and bone tumors. After my fellowships in oncologic pathology and sarcoma research at Memorial Sloan Kettering Cancer Center, I joined the faculty in 1999. As part of the sarcoma disease management team, I work alongside colleagues from surgery, medical oncology, and radiation therapy to care for patients with these very complicated diseases. My role is to establish accurate pathologic diagnosis, grading, and staging. These analyses guide treatment decisions. We have extensive expertise in diagnosing even the rarest forms of these tumors. Findings from molecular and genetics tests are usually incorporated within the pathology report for a more refined classification.",https://www.mskcc.org/cancer-care/doctors/cristina-antonescu
Arlyn Apollo,Assistant Attending Physician ,Prostate Cancer | Bladder/Ureteral Cancer | Kidney Cancer (Renal Cell Cancer) | Testicular Cancer | Adrenal Cancer ,"MD, Mount Sinai School of Medicine ",Commack,"I am a medical oncologist and internist who cares for people with genitourinary cancer, including prostate, bladder, kidney, and testicular cancers.",https://www.mskcc.org/cancer-care/doctors/arlyn-apollo
Allison J. Applebaum,Psycho-oncology | Psychological Counseling for Patients with Cancer and their Caregivers | Cognitive-Behavioral Therapy | Existential Therapeutic Approaches ,"PhD, Boston University ",NewYork-Presbyterian Hospital/Weill Cornell Medical Center ,New York,"I am a licensed clinical psychologist who specializes in helping patients with cancer and their caregivers. In my clinical work, I use a variety of psychotherapeutic approaches, with an emphasis on cognitive-behavioral and existential therapies. I have expertise in using cognitive-behavioral therapy to mitigate anxiety and depression and to improve overall quality of life in patients with cancer and their caregivers.",https://www.mskcc.org/cancer-care/doctors/allison-applebaum
Abdallah Araji,Assistant Attending Radiologist ,Emergency Radiology | Genitourinary Imaging | Body Imaging ,"MD, American University of Beirut ",,"I am a radiologist with a specialty in emergency oncology imaging, which means that I read and interpret different types of imaging results (such as x-ray, CT, MRI, and ultrasound) for inpatients and for patients at Memorial Sloan Kettering Cancer Center’s (MSK’s) Urgent Care Center. I provide these services to our patients at various MSK locations in New York and New Jersey during my evening and overnight shifts. I also read scans for our outpatients during my day shifts, with a focus on prostate and kidney cancer imaging.",https://www.mskcc.org/cancer-care/doctors/abdallah-araji
Omer Aras,Associate Attending Radiologist ,"Advanced Oncologic Body and Bone Marrow Imaging | CT, MRI and PET ","MD, Ankara University (Turkey) ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/omer-aras
Kathryn C. Arbour,Assistant Attending Physician ,Lung Cancer | Targeted Therapy for Lung Cancer | Immunotherapy for Lung Cancer | Clinical Trials ,"MD, Weill Cornell Medical College ",New York,I am a medical oncologist whose practice is focused on caring for people with lung cancer. I have particular expertise in identifying patients who may benefit from immunotherapy or targeted therapy and incorporating these advanced therapies into their treatment plans.,https://www.mskcc.org/cancer-care/doctors/kathryn-arbour
Maria E. Arcila,"Director, Diagnostic Molecular Pathology Laboratory ",Molecular Genetic Pathology | Hematopathology | Anatomic and Clinical Pathology ,"M.D., University of Pittsburgh School of Medicine ",New York,I am an anatomic and clinical pathologist who specializes in molecular genetic pathology and hematology.,https://www.mskcc.org/cancer-care/doctors/maria-arcila
Julio Arevalo-Perez,Assistant Attending Radiologist ,Radiology | Neuroradiology | Oncologic Molecular Imaging ,"MD, University of Salamanca, Spain | PHD, Complutense University of Madrid, Spain ",,"I am a fellowship-trained, board-certified radiologist with experience and expertise in neuroradiology and oncologic molecular imaging. I provide diagnostic interpretations of computed tomography (CT) and magnetic resonance imaging (MRI) scans of the brain, neck and spine. At Memorial Sloan Kettering Cancer Center (MSK), I work closely with my colleagues in urgent care, neurology, neurosurgery, and radiation oncology to offer the best care for patients with cancer.",https://www.mskcc.org/cancer-care/doctors/julio-arevalo-perez
Charlotte E. Ariyan,Carol Bassok Lowenstein Endowed Chair at Memorial Sloan Kettering ,Melanoma | Soft Tissue Sarcoma | Merkel Cell Carcinoma ,"MD, University of Vermont ",New York,I am a board-certified general surgeon specializing in surgical oncology with a clinical expertise in melanoma and soft tissue sarcoma. I work closely with the patient and the comprehensive team of physicians to customize treatment plans for each individual.,https://www.mskcc.org/cancer-care/doctors/charlotte-ariyan
Vittoria Arslan-Carlon,"Chief, Anesthesiology Service ",Pediatric Anesthesia | Anesthesia for Urologic and Hepatobiliary Surgery ,"MD, University of Padua Medical School (Italy) ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/vittoria-arslan-carlon
Amare Assefa,Assistant Attending Physician ,General Internal Medicine | Treatment of Inpatient Oncologic Issues ,"MD, Weill Cornell Medical College ",New York,"I am a hospitalist who cares for people admitted to Memorial Hospital, in Manhattan. I use evidence-based medicine and compassionate care to treat many general medical problems and complications of cancer and its treatments. I work predominately as a nocturnist, admitting patients and caring for people staying in the hospital for extended periods.",https://www.mskcc.org/cancer-care/doctors/amare-assefa
Edward A. Athanasian,Attending Surgeon ,Bone Cancer | Ewing Sarcoma | Osteosarcoma | Soft Tissue Sarcoma | Hand Surgery | Hand and Upper Extremity Disorders | Upper Limb Reconstruction | Nerve Tumors ,"MD, Columbia University ",New York,Please note that this doctor’s office has recently moved. All patient appointments are now taking place at the Rockefeller Outpatient Pavilion at 160 East 53rd Street in Manhattan.,https://www.mskcc.org/cancer-care/doctors/edward-athanasian
Kathleen R. Atlas,Associate Attending Physician ,General Internal Medicine ,"MD, Albert Einstein College of Medicine ",New York,"As a hospitalist, I care for people with all types of cancer who are admitted to Memorial Sloan Kettering Cancer Center for various medical conditions. These may be related to their cancer and its treatment or to other acute medical problems such as heart disease, COPD, pneumonia, renal failure, and pain.",https://www.mskcc.org/cancer-care/doctors/kathleen-atlas
Karen A. Autio,Assistant Attending Physician ,"Prostate Cancer | New Investigational Agents, including Immunotherapy ","MD, Stony Brook University Medical School | MSc, University of Virginia Department of Public Health Sciences ",New York,I am a medical oncologist specializing in the treatment of prostate cancer. I’m fortunate to be a member of both the Immunotherapeutics Service and the Genitourinary Service because advances in one field can often help in another.,https://www.mskcc.org/cancer-care/doctors/karen-autio
Edward K. Avila,"Vice Chair for Clinical Affairs, Department of Neurology | Co-Director, Neuro Advanced Care Unit ","Epilepsy, Clinical Neurophysiology, General neurology, Neurologic complications of cancer ","DO, Philadelphia College of Osteopathic Medicine ",New York,I am a neurologist with specialty training in epilepsy and clinical neurophysiology. I treat patients with brain tumors who develop seizures as a result of their tumor and patients with neurological complications of systemic cancer.,https://www.mskcc.org/cancer-care/doctors/edward-avila
Viswatej (Vishu) Avutu,Assistant Attending Physician ,Bone and soft tissue sarcomas | adolescent and young adult oncology | early-phase clinical trials ,"BS, biochemistry, University of Texas at Austin | MD, University of Texas Southwestern Medical School ",New York,"I am a medical oncologist dedicated to the care of adolescents, young adults, and older adults with soft tissue sarcomas and bone tumors. This interest began as a medical student when I worked with sarcoma survivors and experienced their inner strength, compassion, generosity, and love for life, launching a journey that has led me here.",https://www.mskcc.org/cancer-care/doctors/viswatej-avutu
Umut Aypar,Associate Attending Geneticist ,Clinical Cytogenetics | Clinical Molecular Genetics ,"PhD, University of Maryland, Baltimore ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/umut-aypar
Hassan Azhari,Assistant Attending Physician ,Liver disease | Liver cancers | Liver transplantation | Endoscopy | Colonoscopy | Liver biopsy ,MD - American University of Beirut ,New York,"I am a gastroenterologist and hepatologist who focuses on the management of liver cancers, chronic liver disease, and acute liver-related complications. My expertise includes autoimmune, metabolic, toxic, viral, and immune-mediated liver disease as well as general gastroenterology.",https://www.mskcc.org/cancer-care/doctors/hassan-azhari
Esther Babady,"Chief, Clinical Microbiology Service ",Clinical Microbiology | Molecular Diagnosis of Infectious Diseases ,"PhD, Mayo Clinic College of Medicine ",New York,"I am a clinical microbiologist with expertise in molecular diagnosis of infectious diseases. As Chief of the Clinical Microbiology Laboratory, I am responsible for the management and oversight of specimen testing in the laboratory and provide clinical consultation regarding the ordering of diagnostic tests and interpretation of their results.",https://www.mskcc.org/cancer-care/doctors/esther-babady
Afia Babar,Assistant Attending Physician ,Emergency Oncology Care | Primary Care | Internal Medicine ,"MBBS, Lahore Medical & Dental College ",West Harrison,"I am a board-certified internist who cares for people with a wide variety of medical illnesses. I am committed to delivering the highest quality of care that is not only evidence-based, but also rooted in understanding and communication. At the Urgent Care Center (UCC) at Memorial Sloan Kettering Cancer Center and the Symptomatic Care Clinic (SCC) at MSK Westchester, we practice emergency oncology care. We leverage an intersectional approach to patient care that accounts for individual patient experiences and resources and is especially skilled at simplifying complex medical conditions for patients. We work in close collaboration with oncologists, subspecialists, patients, and family members to provide the most comprehensive care possible.",https://www.mskcc.org/cancer-care/doctors/afia-babar
Ariadne M. Bach,Attending Radiologist ,"Cross-Sectional Body Imaging (CT, Ultrasound) ","MD, Stony Brook University Medical School ",New York,I am a board-certified diagnostic radiologist with expertise in body imaging and a subspecialty in ultrasound.,https://www.mskcc.org/cancer-care/doctors/ariadne-bach
Marina K. Baine,Assistant Attending Pathologist ,Thoracic Pathology | Cytopathology ,"MD, PhD, Albert Einstein College of Medicine ",,"I am a board-certified pathologist with expertise in neoplastic and non-neoplastic lung, mediastinal, and pleural diseases, and general cytopathology. My primary role as a pathologist is to provide accurate tissue diagnosis and tumor staging to help guide treatment.",https://www.mskcc.org/cancer-care/doctors/marina-baine
Manjit S. Bains,Min H. and Yu-Fan C. Kao Chair in Thoracic Cancer ,"Lung Cancer | Esophageal Cancer | Mediastinal Tumors | Mesothelioma | Pulmonary Metastases | Video-Assisted Thoracic Surgery | Pulmonary and Upper Gastrointestinal Endoscopy, Including Laser Endoscopy | Tracheobronchial and Esophageal Stents ","MD, All India Institute of Medical Sciences (New Delhi) ",New York,"In my more than four-decade career as a thoracic surgeon at Memorial Sloan Kettering Cancer Center, I have had the privilege of caring for thousands of individuals with lung, mesothelioma, and esophageal cancers.",https://www.mskcc.org/cancer-care/doctors/manjit-bains
Dean F. Bajorin,Frederick R. Adler Senior Faculty Chair ,Bladder Cancer | Testicular Cancer | Prostate Cancer | Other Genitourinary Cancers | Immunotherapy ,"MD, New York Medical College ",New York,"My expertise is in the treatment of genitourinary tumors — particularly bladder and testicular cancers. As a member of Memorial Sloan Kettering Cancer Center’s Genitourinary Oncology faculty since 1986, I have diagnosed and treated thousands of people with these cancers.",https://www.mskcc.org/cancer-care/doctors/dean-bajorin
Samuel F. Bakhoum,Assistant Attending Radiation Oncologist ,Breast Cancer ,"MD, Dartmouth Medical School | PhD, Dartmouth College ",New York,I am a radiation oncologist who specializes in caring for people with breast cancer. My practice is located at Memorial Hospital in Manhattan.,https://www.mskcc.org/cancer-care/doctors/samuel-bakhoum
Khayala Balabayova,Instructor ,Critical Care Medicine | Infectious Disease ,"MD, Azerbaijan Medical University Baku | PhD, Sechenov Moscow Medical Academy ",New York,"I am an intensivist with board certifications in internal medicine, infectious disease, and critical care medicine. As part of my role, I see patients in the intensive care unit (ICU) at Memorial Sloan Kettering Cancer Center (MSK), where I provide medical care for people who have life-threatening injuries and illnesses.",https://www.mskcc.org/cancer-care/doctors/khayala-balabayova
Vinod P. Balachandran,Associate Attending Surgeon ,"Pancreatic Cancer | Benign, Premalignant, and Malignant Diseases of the Pancreas, Bile Duct, Gallbladder, and Liver ","MD, SUNY at Stony Brook ",New York,"I am a surgical oncologist who specializes in treating people with both benign and cancerous diseases of the pancreas, bile duct, gallbladder, and liver.",https://www.mskcc.org/cancer-care/doctors/vinod-balachandran
